id,amountUSD,fullParkedAmountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.organizationLevels,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,reportDetails_sourceType,reportDetails_organization,reportDetails_reportChannel,reportDetails_date
333824,837090,837090,,,financial,2024-12-12T06:23:54.919Z,2024-12-12T00:00:00Z,2024-11-30T00:00:00Z,"Enhancing capacity for pandemic prevention, preparedness, detection and response in Sierra Leone",earmarked,,2024-12-11T00:00:00Z,Parked,Multiyear,TRUE,,,Traditional aid,333821,commitment,2024-12-13T10:21:22.842Z,1,incoming,single,GCP/SIL/063/PAF,,,,,,,4820,World Bank,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,46,2025,single,,,,,,,,,,7,Health,single,,,,200,Sierra Leone,single,,,,8417,UN Agencies (Confidential),single,Multilateral Organizations,UN Agencies,International Actors,48,2027,single,,,,Primary,UN Agencies (Confidential),Email,2024-12-11T00:00:00.000Z
334219,38064,,,,in kind,2024-12-17T12:17:29.788Z,2024-12-17T00:00:00Z,2021-12-20T00:00:00Z,Solar energy generation in refugee camps,earmarked,0.31,2024-12-05T00:00:00Z,Standard,,FALSE,11800,KWD,Traditional aid,,paid,2024-12-17T12:18:31.917Z,1,outgoing,single,Ministry of Foreign Affairs system number-4672,120,Kuwait,single,,,,14712,Al-Salam Association for humanitarian and charitable works,single,NGOs,International NGOs,International Actors,48,2027,single,,,,,,,,,,26481,Other,single,,,,229,Türkiye,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,43,2022,single,,,,Primary,Al-Salam Association for humanitarian and charitable works,Email,2024-12-05T00:00:00.000Z
334308,0,,2025,334309|334310|334320,financial,2024-12-18T02:30:39.366Z,2024-12-12T00:00:00Z,2024-12-12T00:00:00Z,Phase 4 – Leave no one behind: Enabling the uptake of the IASC Guidelines on Disability-Inclusion for lasting impact through side-scaling & loc,,1,2024-12-17T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,commitment,2024-12-24T08:58:04.899Z,1,incoming,shared,F-PF-2-Team2-321.50/glob/HI/In,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,46; 47; 48,2025; 2026; 2027,shared; shared; shared,NULL; NULL; NULL,NULL; NULL; NULL,NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,46; 47; 48,2025; 2026; 2027,shared; shared; shared,,,,Primary,"Germany, Government of",From EDRIS,2024-12-17T00:00:00.000Z
334310,55455,,2027,,financial,2024-12-18T02:30:42.820Z,2024-12-12T00:00:00Z,2024-12-12T00:00:00Z,Phase 4 – Leave no one behind: Enabling the uptake of the IASC Guidelines on Disability-Inclusion for lasting impact through side-scaling & loc,,0.901,2024-12-17T00:00:00Z,Standard,Multiyear,TRUE,49965,EUR,Traditional aid,334308,commitment,2024-12-24T08:57:31.369Z,1,incoming,single,F-PF-2-Team2-321.50/glob/HI/In,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,48,2027,single,,,,,,,,,,6; 7; 10; 11,Food Security; Health; Protection; Water Sanitation Hygiene,shared; shared; shared; shared,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,251,Global,single,,,,4763,Handicap International - Humanity & Inclusion,single,NGOs,International NGOs,International Actors,48,2027,single,,,,Primary,"Germany, Government of",From EDRIS,2024-12-17T00:00:00.000Z
335189,2000000,,2024,,financial,2025-01-02T22:08:18.730Z,2023-12-01T00:00:00Z,2023-12-01T00:00:00Z,Ethiopia Humanitarian Response Plan,tightly earmarked,,2024-12-10T00:00:00Z,Standard,,TRUE,,,Traditional aid,,paid,2025-01-02T22:08:18.730Z,1,incoming,single,"4000007219 - 230002517 | 23-GOV-NL-007-05",157,Netherlands,single,,,,3008,"Netherlands, Government of",single,Governments,National Governments,National and Sub-National State Actors,45,2024,single,,,,,,,,,,26479,Multi-sector,single,,,,71,Ethiopia,single,,,,4397,United Nations High Commissioner for Refugees,single,Multilateral Organizations,UN Agencies,International Actors,48,2027,single,,,,Primary,United Nations High Commissioner for Refugees,Email,2024-12-10T00:00:00.000Z
335197,1650749,,2024,,financial,2025-01-02T22:15:53.310Z,2025-01-02T00:00:00Z,2023-09-25T00:00:00Z,Sudan Humanitarian Response Plan,tightly earmarked,,2024-12-10T00:00:00Z,Standard,,TRUE,,,Traditional aid,,paid,2025-01-02T22:15:53.310Z,1,incoming,single,"4000007219 | 23-GOV-NL-007-03",157,Netherlands,single,,,,3008,"Netherlands, Government of",single,Governments,National Governments,National and Sub-National State Actors,45,2024,single,,,,,,,,,,4; 13; 12; 10; 26479; 1,Emergency Shelter and NFI; Protection - Gender-Based Violence; Protection - Child Protection; Protection; Multi-sector; Camp Coordination / Management,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,212,Sudan,single,,,,4397,United Nations High Commissioner for Refugees,single,Multilateral Organizations,UN Agencies,International Actors,48,2027,single,,,,Primary,United Nations High Commissioner for Refugees,Email,2024-12-10T00:00:00.000Z
335338,0,4732048,2024,335340|335339|335341|335342,financial,2025-01-06T14:20:22.914Z,2024-01-30T00:00:00Z,2024-01-30T00:00:00Z,Cooperation on Migration and Partnership to Achieve Sustainable Solutions (COMPASS) 2.0,earmarked,0.9193,2025-01-06T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,paid,2025-01-06T14:24:55.676Z,1,incoming,shared,4000007136 -230002423,157,Netherlands,single,,,,3008,"Netherlands, Government of",single,Governments,National Governments,National and Sub-National State Actors,45,2024,single,,,,,,,,,,,,,,,,212,Sudan,single,,,,2986,International Organization for Migration,single,Multilateral Organizations,UN Agencies,International Actors,45; 46; 47; 48,2024; 2025; 2026; 2027,shared; shared; shared; shared,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,Primary,International Organization for Migration,Email,2025-01-06T00:00:00.000Z
335342,1183012,,2024,,financial,2025-01-06T14:24:55.561Z,2024-01-30T00:00:00Z,2024-01-30T00:00:00Z,Cooperation on Migration and Partnership to Achieve Sustainable Solutions (COMPASS) 2.0,earmarked,0.9193,2025-01-06T00:00:00Z,Standard,Multiyear,TRUE,1087543,EUR,Traditional aid,335338,paid,2025-01-06T14:24:55.561Z,1,incoming,single,4000007136 -230002423,157,Netherlands,single,,,,3008,"Netherlands, Government of",single,Governments,National Governments,National and Sub-National State Actors,45,2024,single,,,,957,Sudan Complex Emergency 2023,single,,,,10,Protection,single,,,,212,Sudan,single,,,,2986,International Organization for Migration,single,Multilateral Organizations,UN Agencies,International Actors,48,2027,single,,,,Primary,International Organization for Migration,Email,2025-01-06T00:00:00.000Z
335531,0,2217295,,335534|335532|335533,financial,2025-01-08T10:57:21.521Z,2025-01-08T00:00:00Z,2024-12-05T00:00:00Z,Decision Support Platform Towards Enhanced Irrigation Water productivity in Libya,earmarked,0.902,2025-01-08T00:00:00Z,Parked,Multiyear|AICS,TRUE,0,EUR,Traditional aid,,commitment,2025-01-08T11:05:18.177Z,1,incoming,shared,OSRO/LIB/031/ITA,110,Italy,single,,,,3774,"Italy, Government of",single,Governments,National Governments,National and Sub-National State Actors,45,2024,single,,,,,,,,,,11,Water Sanitation Hygiene,single,,,,127,Libya,single,,,,8417,UN Agencies (Confidential),single,Multilateral Organizations,UN Agencies,International Actors,46; 47; 48,2025; 2026; 2027,shared; shared; shared,NULL; NULL; NULL,NULL; NULL; NULL,NULL; NULL; NULL,Primary,UN Agencies (Confidential),Email,2025-01-08T00:00:00.000Z
335534,438561,438561,,,financial,2025-01-08T11:05:17.961Z,2025-01-08T00:00:00Z,2024-12-05T00:00:00Z,Decision Support Platform Towards Enhanced Irrigation Water productivity in Libya,earmarked,0.902,2025-01-08T00:00:00Z,Parked,Multiyear|AICS,TRUE,395582,EUR,Traditional aid,335531,commitment,2025-01-08T11:05:17.961Z,1,incoming,single,OSRO/LIB/031/ITA,110,Italy,single,,,,3774,"Italy, Government of",single,Governments,National Governments,National and Sub-National State Actors,45,2024,single,,,,,,,,,,11,Water Sanitation Hygiene,single,,,,127,Libya,single,,,,8417,UN Agencies (Confidential),single,Multilateral Organizations,UN Agencies,International Actors,48,2027,single,,,,Primary,UN Agencies (Confidential),Email,2025-01-08T00:00:00.000Z
335841,0,36666666,,335842|335843|335844|335845,financial,2025-01-14T07:34:28.017Z,2025-01-14T00:00:00Z,2024-12-12T00:00:00Z,South Sudan's Green and Resilient Agriculture and Climate Economy (GRACE),unearmarked,0.96,2024-12-19T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,commitment,2025-01-27T09:52:32.922Z,1,incoming,shared,700002697  UNJP/SSD/043/EC,,,,,,,2966,European Commission,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,46,2025,single,,,,,,,,,,6,Food Security,single,,,,211,South Sudan,single,,,,8417,UN Agencies (Confidential),single,Multilateral Organizations,UN Agencies,International Actors,46; 47; 48; 49,2025; 2026; 2027; 2028,shared; shared; shared; shared,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,Primary; Primary,UN Agencies (Confidential); UN Agencies (Confidential),Email; Email,2025-01-10T00:00:00.000Z; 2025-01-27T00:00:00.000Z
335844,7926183,7926183,,,financial,2025-01-14T07:41:24.851Z,2025-01-14T00:00:00Z,2024-12-12T00:00:00Z,South Sudan's Green and Resilient Agriculture and Climate Economy (GRACE),unearmarked,0.96,2024-12-19T00:00:00Z,Parked,Multiyear,TRUE,7609136,EUR,Traditional aid,335841,commitment,2025-01-14T07:41:24.851Z,1,incoming,single,700002697  UNJP/SSD/043/EC,,,,,,,2966,European Commission,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,46,2025,single,,,,,,,,,,26512,Agriculture,single,,,,211,South Sudan,single,,,,8417,UN Agencies (Confidential),single,Multilateral Organizations,UN Agencies,International Actors,48,2027,single,,,,Primary,UN Agencies (Confidential),Email,2025-01-10T00:00:00.000Z
336073,0,900000,,336074|336075|336076|336077|336078|336079,financial,2025-01-17T11:23:15.012Z,2025-01-17T00:00:00Z,2024-09-19T00:00:00Z,Providing lifesaving and Integrated SRH and GBV services in Humanitarian settings in the Middle East region,earmarked,,2024-12-13T00:00:00Z,Parked,Multiyear,TRUE,,,Traditional aid,,paid,2025-01-17T11:26:26.862Z,1,incoming,shared,/ UNFPA code = KRA80,119,"Korea, Republic of",single,,,,2929,"Korea, Republic of, Government of",single,Governments,National Governments,National and Sub-National State Actors,45,2024,single,,,,,,,,,,,,,,,,124,Lebanon,single,,,,4293,United Nations Population Fund,single,Multilateral Organizations,UN Agencies,International Actors,46; 47; 45; 48,2025; 2026; 2024; 2027,shared; shared; shared; shared,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,Primary,"Korea, Republic of, Government of",Email,2024-12-13T00:00:00.000Z
336556,0,612245,2025,338449|338450|338451,financial,2025-01-31T02:32:32.565Z,2025-01-29T00:00:00Z,2025-01-29T00:00:00Z,"Leveraging Building Blocks as a decentralized, non-proprietary system for inter-organizational collaboration and efficiency.",unearmarked,0.98,2025-01-30T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,commitment,2025-02-26T17:48:05.730Z,1,incoming,shared,ECHO/ERC/BUD/2024/91015,,,,,,,8523,European Commission's Humanitarian Aid and Civil Protection Department,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,46,2025,single,,,,,,,,,,,,,,,,251,Global,single,,,,3049,World Food Programme,single,Multilateral Organizations,UN Agencies,International Actors,46; 47; 48,2025; 2026; 2027,shared; shared; shared,NULL; NULL; NULL,NULL; NULL; NULL,NULL; NULL; NULL,Primary,European Commission's Humanitarian Aid and Civil Protection Department,From EDRIS,2025-01-30T00:00:00.000Z
336575,0,500000,,336576|336577|336579,financial,2025-01-31T08:34:23.523Z,2025-01-31T00:00:00Z,2024-10-07T00:00:00Z,Enhance Border Management and Combat Transnational Crime at the Northern Border of Côte d’Ivoire and Cascades region of Burkina Faso,earmarked,,2025-01-31T00:00:00Z,Parked,Multiyear,FALSE,,,Traditional aid,,commitment,2025-01-31T13:29:08.800Z,1,incoming,shared,UNJP/BKF/908/UNJ,,,,,,,971,UN Multi-Partner Trust Fund,single,Pooled Funds,Global UN Pooled Funds,Pooled Funds,45,2024,single,,,,,,,,,,26512,Agriculture,single,,,,36,Burkina Faso,single,,,,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,46; 47; 48,2025; 2026; 2027,shared; shared; shared,NULL; NULL; NULL,NULL; NULL; NULL,NULL; NULL; NULL,Primary,Food and Agriculture Organization of the United Nations,Email,2025-01-31T00:00:00.000Z
336579,100000,100000,,,financial,2025-01-31T08:39:33.650Z,2025-01-31T00:00:00Z,2024-10-07T00:00:00Z,Enhance Border Management and Combat Transnational Crime at the Northern Border of Côte d’Ivoire and Cascades region of Burkina Faso,earmarked,,2025-01-31T00:00:00Z,Parked,Multiyear,FALSE,,,Traditional aid,336575,commitment,2025-01-31T08:39:33.650Z,1,incoming,single,UNJP/BKF/908/UNJ,,,,,,,971,UN Multi-Partner Trust Fund,single,Pooled Funds,Global UN Pooled Funds,Pooled Funds,45,2024,single,,,,,,,,,,26512,Agriculture,single,,,,36,Burkina Faso,single,,,,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,48,2027,single,,,,Primary,Food and Agriculture Organization of the United Nations,Email,2025-01-31T00:00:00.000Z
