id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,fullParkedAmountUSD,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.organizationLevels,reportDetails_sourceType,reportDetails_organization,reportDetails_reportChannel,reportDetails_date
304466,1017964,2028,,financial,2024-03-28T18:18:03.518Z,2024-01-14T00:00:00Z,2022-01-14T00:00:00Z,Humanitarian efficiency,earmarked,0.835,2024-01-14T00:00:00Z,Standard,,TRUE,850000,CHF,Traditional aid,,commitment,2024-03-28T18:18:03.518Z,1,incoming,single,7F-10326.99,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,26480,Coordination and support services,single,,,,206; 71; 69; 62,Somalia; Ethiopia; Eritrea; Djibouti,shared; shared; shared; shared,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,4543,Private (individuals & organizations),single,Private Organizations,International Private Organizations,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-14T00:00:00.000Z
304484,182036,2028,,financial,2024-03-28T19:14:23.301Z,2024-01-14T00:00:00Z,2022-01-14T00:00:00Z,Protection,earmarked,0.835,2024-01-14T00:00:00Z,Standard,,TRUE,152000,CHF,Traditional aid,,commitment,2024-03-28T19:14:23.301Z,1,incoming,single,7F-10366.04,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,10,Protection,single,,,,52,Democratic Republic of the Congo,single,,,,6865,International NGO Safety Organisation,single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-14T00:00:00.000Z
304533,2994012,2028,,financial,2024-03-29T07:00:01.669Z,2024-01-14T00:00:00Z,2022-01-14T00:00:00Z,Programme Paix et Cohés. sociale,earmarked,0.835,2024-01-14T00:00:00Z,Standard,,TRUE,2500000,CHF,Traditional aid,,commitment,2024-03-29T07:00:01.669Z,1,incoming,single,7F-10979.99,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,10,Protection,single,,,,36,Burkina Faso,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-14T00:00:00.000Z
304574,59880,2028,,financial,2024-03-29T08:10:28.036Z,2024-01-14T00:00:00Z,2022-01-14T00:00:00Z,Humanitarian efficiency,earmarked,0.835,2024-01-14T00:00:00Z,Standard,,TRUE,50000,CHF,Traditional aid,,commitment,2024-03-29T08:10:28.036Z,1,incoming,single,7F-11016.03,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,26480,Coordination and support services,single,,,,217,Switzerland,single,,,,31,MapAction,single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-14T00:00:00.000Z
304639,179641,2028,,financial,2024-03-29T10:30:21.816Z,2024-01-14T00:00:00Z,2022-01-14T00:00:00Z,Third Party Monitoring in Northern Syria,earmarked,0.835,2024-01-14T00:00:00Z,Standard,,TRUE,150000,CHF,Traditional aid,,commitment,2024-05-30T14:20:18.326Z,1,incoming,single,7F-11091.01,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,26480,Coordination and support services,single,,,,218,Syrian Arab Republic,single,,,,4543,Private (individuals & organizations),single,Private Organizations,International Private Organizations,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-14T00:00:00.000Z
304717,104167,2028,,financial,2024-03-29T14:22:20.907Z,2022-10-27T00:00:00Z,2022-09-29T00:00:00Z,"Protection,",earmarked,0.96,2024-01-14T00:00:00Z,Standard,,TRUE,100000,CHF,Traditional aid,,commitment,2024-03-29T14:22:20.907Z,1,incoming,single,7F-10792.03,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,10,Protection,single,,,,52,Democratic Republic of the Congo,single,,,,558,Buco Cotonou,single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-14T00:00:00.000Z
304771,434896,2028,,financial,2024-03-29T18:38:51.233Z,2022-10-27T00:00:00Z,2022-09-29T00:00:00Z,Agricultural development,earmarked,0.96,2024-01-14T00:00:00Z,Standard,,TRUE,417500,CHF,Traditional aid,,commitment,2024-03-29T18:38:51.233Z,1,incoming,single,7F-10474.99,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,6,Food Security,single,,,,211,South Sudan,single,,,,4305,Mercy Corps,single,NGOs,International NGOs,International Actors,49,2028,single,,,,957,Sudan Complex Emergency 2023,single,,,,Primary,"Switzerland, Government of",Email,2024-01-14T00:00:00.000Z
304794,625000,2028,,financial,2024-03-29T19:29:23.528Z,2022-10-27T00:00:00Z,2022-09-29T00:00:00Z,Sexual & Gender-based violence,earmarked,0.96,2024-01-14T00:00:00Z,Standard,,TRUE,600000,CHF,Traditional aid,,commitment,2024-03-29T19:29:23.528Z,1,incoming,single,7F-10501.99,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,13,Protection - Gender-Based Violence,single,,,,52,Democratic Republic of the Congo,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-14T00:00:00.000Z
304802,729167,2028,,financial,2024-03-29T19:38:20.023Z,2022-10-27T00:00:00Z,2022-09-29T00:00:00Z,Household food security,earmarked,0.96,2024-01-14T00:00:00Z,Standard,,TRUE,700000,CHF,Traditional aid,,commitment,2024-03-29T19:38:20.023Z,1,incoming,single,7F-10504.99,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,6,Food Security,single,,,,52,Democratic Republic of the Congo,single,,,,4533,HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-14T00:00:00.000Z
304911,913242,2028,,financial,2024-03-30T11:28:41.523Z,2022-01-20T00:00:00Z,,Food safety and quality,earmarked,0.876,2024-01-14T00:00:00Z,Standard,,TRUE,800000,CHF,Cash transfer programming (CTP),,commitment,2024-03-30T11:28:41.523Z,1,incoming,single,7F-10754.03,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,6,Food Security,single,,,,52,Democratic Republic of the Congo,single,,,,3230,Solidarités International,single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-14T00:00:00.000Z
