"Incident ID",Year,Month,Day,"Country Code",Country,Region,District,City,UN,INGO,ICRC,"NRCS and IFRC",NNGO,Other,"Nationals killed","Nationals wounded","Nationals kidnapped","Total nationals","Internationals killed","Internationals wounded","Internationals kidnapped","Total internationals","Total killed","Total wounded","Total kidnapped","Total affected","Gender Male","Gender Female","Gender Unknown","Means of attack","Attack context",Location,Latitude,Longitude,Motive,"Actor type","Actor name",Details,Verified,Source
#event+id,#date+year,#date+month,#date+day,#country+code,#country+name+i_en,#adm1+name+i_en,#adm2+name+i_en,#adm3+name+i_en,#affected+UN,#affected+INGO,#affected+ICRC,#affected+IFRC,#affected+NGO,#affected+other,#affected+killed+national,#affected+injured+national,#affected+kidnapped+national,#affected+total+national,#affected+killed+international,#affected+injured+international,#affected+kidnapped+international,#affected+total+international,#affected+total+killed,#affected+total+injured,#affected+total+kidnapped,#affected+total,#affected+total+m,#affected+total+f,#affected+total+i,#event+means+i_en,#event+type+i_en,#loc+type+i_en,#geo+lat,#geo+lon,#x_event_motive,#group+type+i_en,#group+name+i_en,#description+i_en,,
3724,2023,1,11,NG,Nigeria,Kaduna,Igabi,"Ungawar Mai Awo",0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Bodily assault",Raid,Home,10.518647,7.488791,Unknown,Criminal,Bandits,"One national NGO aid worker was killed at his house during a wider attack by bandits in Ungawar Mai Awo village, Kaduna. His nephew was also killed.",Yes,Media
3892,2023,1,12,RW,Rwanda,Kigali,Mumena,Kigali,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault","Individual attack",Home,-1.943889,30.059444,Economic,Criminal,"Not applicable","One UN staff aid worker was injured when four criminal actors attempted to rob his personal cellphone using knives at his house in Kigali.",Yes,"Official Report"
4195,2023,1,15,SD,Sudan,"Central Darfur",,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting,Ambush,Road,12.964786,23.719387,Unknown,Unknown,Unknown,"One INGO contractor was shot and killed by unknown armed actors while travelling in Central Darfur.",Yes,Media
3695,2023,1,18,SS,"South Sudan",Jonglei,Pibor,Pibor,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,"Bodily assault",Raid,Office/compound,6.8,33.133333,Economic,Unknown,Unknown,"One national NGO worker was injured when unknown armed men raided the organisation compound in Pibor, Jonglei. The attackers targeted the NGO looking for cash and other assets to be stolen.",Yes,"Official Report"
4184,2023,1,21,CO,Colombia,Nariño,Tumaco,Tumaco,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,"Landmine ",Combat/Crossfire,"Public location",1.788978,-78.799775,Incidental,Unknown,Unknown,"One NNGO aid worker was injured after stepping on an anti-personnel mine in Tumaco, Nariño.",Yes,"Official Report"
3702,2023,1,23,ML,Mali,Gao,Menaka,Menaka,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,Kidnapping,"Individual attack",Road,15.926541,2.340131,Economic,Unknown,Unknown,"One UN agency doctor was kidnapped by unknown armed actors in Menaka, Gao. The doctor was released on February 2.",Yes,"Official Report"
3703,2023,1,24,UA,Ukraine,Kharkiv,Kharkiv,"Between Kharkiv and Lyptsi",0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,Shelling,Combat/Crossfire,Road,50.113541,36.413318,Incidental,"Foreign or coalition forces","Russian Armed Forces","Two personnel from an INGO were wounded during a strike from the Russian Federation forces while traveling from Kharkiv to Lyptsi village. Allegedly the strike was targeting a checkpoint near the Russian border.",Yes,"Official Report"
3719,2023,1,26,SS,"South Sudan",Jonglei,Pibor,"Pibor Payam",0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,"Bodily assault",Raid,Office/compound,6.789800,33.121383,Economic,Unknown,Unknown,"Two national NGO workers were injured when unknown armed actors raided their compound and stole a mobile phone.",Yes,"Official Report"
3704,2023,1,27,SD,Sudan,"Blue Nile","Blue Nile",Giessan,0,0,0,0,2,0,1,1,0,2,0,0,0,0,1,1,0,2,1,0,1,Shooting,Ambush,Road,11.585588,33.759961,Unknown,"Non-state armed group: National","Sudan People's Liberation Movement-North","One national NGO contractor was killed and another staff injured by unidentified gunmen in the Giessan area, Blue Nile region. According to the government, the Sudan People's Liberation Movement-North were responsible.",Yes,Media
3866,2023,2,1,SS,"South Sudan","Central Equatoria",Lainya,Kupera,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Bodily assault","Individual attack","Project site",4.1079,30.964542,Unknown,Unknown,Unknown,"One security guard at an NGO-supported health centre was killed by three unknown men using bladed weapons in Lummuri village, Kupera Payam, Lainya County.",Yes,"Official Report"
